"","data_ts","trend_cycle"
"1",74.1,74.0623567418994
"2",74.32545,74.29313309358
"3",74.5,74.4771522592499
"4",74.59161,74.5704442940673
"5",74.9,74.8563307406771
"6",75.05739,75.0502542057989
"7",75.2,75.2280892628357
"8",75.25701,75.3178570972266
"9",75.4,75.4583887082377
"10",75.65625,75.6918231905292
"11",75.9,75.8918416625451
"12",75.92242,75.9035842772262
"13",76.3,76.2793233173366
"14",76.52128,76.5158633505863
"15",76.6,76.5952631331794
"16",76.92052,76.8989343077681
"17",77.1,77.0419348357888
"18",77.31976,77.2581013838929
"19",77.4,77.3605598867547
"20",77.3863,77.4149766699752
"21",77.4,77.4822321032406
"22",77.51938,77.6251817522645
"23",77.7,77.7728968161076
"24",77.719,77.7465423733607
"25",78.1,78.0700012800957
"26",78.31786,78.2368176130289
"27",78.5,78.3977975098914
"28",78.7171,78.6333044806797
"29",78.9,78.8600407259255
"30",78.98327,79.0281952671497
"31",79.1,79.1772534011838
"32",79.24943,79.3270545311082
"33",79.4,79.4456174899605
"34",79.58213,79.6058425212663
"35",79.8,79.7904115771183
"36",79.91483,79.883142455453
"37",80.2,80.1653137229254
"38",80.38061,80.3417154922624
"39",80.6,80.5523536457686
"40",80.84639,80.8197052277203
"41",81,81.0046861221939
"42",81.11256,81.1853441917559
"43",81.2,81.2594883281007
"44",81.44525,81.4596167065333
"45",81.6,81.5760596488204
"46",81.64487,81.606429378592
"47",81.8,81.7704098483988
"48",81.91103,81.9053105181856
"49",82,82.0397907213762
"50",82.24374,82.2727210327633
"51",82.5,82.4835875157275
"52",82.70952,82.6871131947893
"53",82.9,82.87757754371
"54",83.04222,83.066923405033
"55",83.1,83.1024601580468
"56",83.30838,83.301477136996
"57",83.3,83.3090193655983
"58",83.30838,83.3140334146869
"59",83.4,83.4100863658307
"60",83.57454,83.5774507807509
"61",83.6,83.6116218421961
"62",83.84071,83.8164039854477
"63",84.1,84.0456819615255
"64",84.23994,84.2315544608711
"65",84.5,84.5236659918404
"66",84.5061,84.5831713249446
"67",84.8,84.8274760443478
"68",84.97189,84.9404118050333
"69",85,84.9639092094228
"70",85.17151,85.1201316524046
"71",85.2,85.1932203385156
"72",85.23804,85.2459340483777
"73",85.4,85.4451810338747
"74",85.63729,85.6734582994372
"75",85.8,85.8029832374151
"76",86.10307,86.105003367137
"77",86.4,86.3817693166969
"78",86.43578,86.4517661486442
"79",86.7,86.6547732535918
"80",86.83501,86.7525994202119
"81",86.8,86.8073498925496
"82",86.70193,86.7341222339547
"83",86.8,86.8659637557164
"84",86.83501,86.8415895584449
"85",86.9,86.9197252284466
"86",87.16772,87.1698219340892
"87",87.3,87.2657649377692
"88",87.43388,87.4243614327344
"89",87.7,87.6862156542984
"90",87.89966,87.9078250899623
"91",88.1,88.0739881340241
"92",88.23236,88.2078545166446
"93",88.2,88.309577693648
"94",88.49852,88.534707041522
"95",88.8,88.786919070063
"96",89.09738,88.9656535801213
"97",89.5,89.4049700251511
"98",89.69624,89.684183652014
"99",90.2,90.2651912840814
"100",90.36165,90.5537786348548
"101",90.8,90.9753785798994
"102",91.22667,91.2819574364039
"103",91.7,91.5596557012989
"104",91.82553,91.5470621861081
"105",91.6,91.4785919432821
"106",91.55937,91.4834482694363
"107",91.2,91.3109107255394
"108",91.09359,91.1998850074956
"109",91,91.1297360812208
"110",91.16013,91.2362521137766
"111",91.2,91.1928367153231
"112",91.42629,91.3847829887763
"113",91.6,91.552009994349
"114",91.69245,91.6630303832061
"115",91.7,91.6815283584713
"116",91.95861,91.8471092119522
"117",91.8,91.8612094591449
"118",91.82553,91.8580477093108
"119",91.8,91.9062247184904
"120",92.02515,91.9890809181635
"121",92.2,92.1769866228141
"122",92.22477,92.2392240599766
"123",92.5,92.4772060964337
"124",92.82363,92.7688848222785
"125",92.9,92.8951032618046
"126",92.89017,92.9170493727966
"127",93.2,93.2216378438493
"128",93.4225,93.3085086183156
"129",93.2,93.2862429891912
"130",93.4225,93.4677051017649
"131",93.4,93.5400284358183
"132",93.7552,93.7586509812967
"133",94.1,94.1065385544151
"134",94.4186,94.358336032366
"135",94.8,94.6266277761228
"136",95.25581,95.0723982841494
"137",95.3,95.3110642389371
"138",95.44186,95.5667067221772
"139",95.7,95.8887227753844
"140",96,95.9805914503553
"141",96,96.0675865617764
"142",96.55814,96.4676620624208
"143",96.5,96.5547497055589
"144",96.83721,96.8290703450172
"145",97.1,97.1399981959864
"146",97.48837,97.4417116646891
"147",98,97.8567426645546
"148",98.4186,98.2784718983668
"149",98.4,98.4619186763668
"150",98.60465,98.7229914141987
"151",98.7,98.854897782863
"152",99.06977,98.9605601705739
"153",99.1,99.1039286256149
"154",99.06977,99.0200322816133
"155",98.9,99.025886970505
"156",99.06977,99.0318489062931
"157",99.3,99.2290872385264
"158",99.34884,99.260011439984
"159",99.5,99.4763890858672
"160",99.53488,99.5932542357589
"161",99.5,99.6974591923731
"162",99.81396,99.9035824476942
"163",99.9,99.8848090911285
"164",100.2791,99.9545490078481
"165",100,99.9209529794903
"166",99.81396,99.8221948306778
"167",99.5,99.7285233615874
"168",99.72093,99.73996658314
"169",99.9,99.8911474544181
"170",99.81396,99.7767439078733
"171",99.9,99.865755951957
"172",100.093,100.055423751155
"173",100,100.088638274932
"174",100.093,100.151777040237
"175",100,100.076968205606
"176",100.186,100.027007991743
"177",99.8,99.8241687963514
"178",99.90697,99.798759160166
"179",99.7,99.7111258173614
"180",99.72093,99.633280691831
"181",99.3,99.3909055042195
"182",99.72093,99.8153593672249
"183",99.8,99.8391667299408
"184",100,99.9537800684157
"185",100.1,100.104552953245
"186",100.2791,100.274274953851
"187",100.2,100.296034097315
"188",100.3721,100.278752451074
"189",100,100.067238112271
"190",100.186,100.06228485008
"191",99.8,99.7867819523436
"192",99.81396,99.6870609969229
"193",99.6,99.6201047583307
"194",99.4,99.5001989528427
"195",99.6,99.6978351113337
"196",99.5,99.5634765442911
"197",99.8,99.8499281775705
"198",99.9,99.8619975138616
"199",100.1,100.029283070914
"200",100.3,99.9906595792436
"201",100.1,100.113339597291
"202",100,100.105812233705
"203",99.9,100.232870732288
"204",100.3,100.368142942993
"205",100.6,100.532630105234
"206",101,100.843475368798
"207",101,100.825693696699
"208",101.4,101.302939562651
"209",101.2,101.31352235659
"210",101.1,101.278514331547
"211",101.2,101.341237798067
"212",101.5,101.260026081764
"213",101.2,101.229243790432
"214",101,101.033844789527
"215",100.8,100.969482350652
"216",101.2,101.088960968044
"217",101.5,101.327343034074
"218",101.5,101.429285345725
"219",101.8,101.763691130569
"220",101.9,102.00833846019
"221",102.2,102.421998872884
"222",102.4,102.531867573511
"223",102.7,102.704617740299
"224",103.1,102.7186272676
"225",102.6,102.57602272066
"226",102.6,102.563144685702
"227",102.4,102.55444097922
"228",102.3,102.343875021125
"229",102.4,102.412607360555
"230",102.5,102.566152798819
"231",102.8,102.73468482959
"232",103,102.949181119852
"233",103,103.033908884445
"234",103.1,103.106011470988
"235",103.1,103.154128921289
"236",103.5,103.20728417478
"237",102.9,103.016774294805
"238",102.8,102.871617213779
"239",102.6,102.781583633553
"240",102.8,102.775533586887
"241",102.9,102.767234757952
"242",102.8,102.836264794755
"243",102.9,102.836000289466
"244",103,102.952847629415
"245",102.8,102.873865464486
"246",102.9,102.919841843003
"247",102.7,102.788687252359
"248",103,102.671593282811
"249",102.3,102.449691509042
"250",102.5,102.579727526555
"251",102.4,102.59505892591
"252",102.6,102.625423983122
"253",103.3,103.079213333248
"254",103.4,103.373979643296
"255",103.7,103.5593143839
"256",104.1,104.068312521848
"257",104.1,104.286174471036
"258",104.2,104.29493965625
"259",104.7,104.741786516424
"260",105.1,104.777290150874
"261",104.9,105.071496370131
"262",105.6,105.598733818902
"263",106.2,106.314394828249
"264",106.6,106.865085394732
"265",108.3,108.048949796959
"266",109.3,109.065701569642
"267",110.4,110.016967565201
"268",110.3,110.667588756751
"269",111.2,111.612224633791
"270",112.5,112.212622359
"271",113,112.943289542054
"272",113.9,113.964202100808
"273",114.2,115.028020240953
"274",118.1,116.902869357284
"275",118.7,118.520515920623
"276",119,119.890164167873
